"","row","col"
"",40494,3
"",40495,3
"",45180,3
"",45181,3
"",45182,3
"",49011,3
"",49012,3
"",52559,3
"",52560,3
"",52561,3
"",52562,3
"",59243,3
"",59244,3
"",59245,3
"",64199,3
"",71077,3
"",71078,3
"",71079,3
"",75236,3
"",75237,3
"",79357,3
"",79358,3
"",80321,3
"",80322,3
"",80323,3
"",85210,3
"",85211,3
"",85212,3
"",89964,3
"",89965,3
"x1_neg",10,120.9922
"",2363,1
"",2364,1
"",2365,1
"",2366,1
"",2367,1
"",2368,1
"",4193,1
"",10140,1
"",10141,1
"",10142,1
"",10143,1
"",10144,1
"",12375,1
"",12376,1
"",12377,1
"",12378,1
"",17541,1
"",17542,1
"",17543,1
"",17544,1
"",20728,1
"",20729,1
"",20730,1
"",20731,1
"",20732,1
"",22209,1
"",22210,1
"",22211,1
"",22212,1
"",24868,1
"",24869,1
"",24870,1
"",24871,1
"",30191,1
"",30192,1
"",30193,1
"",30194,1
"",32210,1
"",32211,1
"",32212,1
"",32213,1
"",37530,1
"",37531,1
"",37532,1
"",37533,1
"",41250,1
"",41251,1
"",41252,1
"",42947,1
"",42948,1
"",42949,1
"",42950,1
"",45705,1
"",45706,1
"",45707,1
"",50919,1
"",50920,1
"",50921,1
"",50922,1
"",53902,1
"",53903,1
"",53904,1
"",53905,1
"",53906,1
"",53907,1
"",53908,1
"",59730,1
"",59731,1
"",59732,1
"",59733,1
"",59734,1
"",60826,1
"",60827,1
"",60828,1
"",60829,1
"",60830,1
"",60831,1
"",60832,1
"",60833,1
"",61223,1
"",61224,1
"",65292,1
"",71661,1
"",71662,1
"",71663,1
"",71664,1
"",77318,1
"",77319,1
"",77320,1
"",77321,1
"",77490,1
"",77491,1
"",81117,1
"",81118,1
"",81119,1
"",82797,1
"",82798,1
"",82799,1
"",82800,1
"",85939,1
"",85940,1
"",85941,1
"",85942,1
"",92272,1
"",92273,1
"",92274,1
"",92275,1
"",92276,1
"",982,2
"",983,2
"",1564,2
"",7191,2
"",11554,2
"",11555,2
"",23986,2
"",23987,2
"",31347,2
"",31348,2
"",39975,2
"",39976,2
"",44873,2
"",44874,2
"",52133,2
"",52134,2
"",52662,2
"",59323,2
"",59324,2
"",59325,2
"",59326,2
"",59327,2
"",59328,2
"",65888,2
"",70741,2
"",70742,2
"",79797,2
"",79798,2
"",84853,2
"",84854,2
"",928,3
"",929,3
"",8911,3
"",11516,3
"",11517,3
"",16721,3
"",23941,3
"",23942,3
"",29339,3
"",31307,3
"",31308,3
"",36686,3
"",39901,3
"",39902,3
"",41374,3
"",44831,3
"",44832,3
"",50098,3
"",62663,3
"",62664,3
"",67729,3
"",70701,3
"",70702,3
"",76408,3
"",79716,3
"",79717,3
"",81241,3
"",84811,3
"",84812,3
"",91228,3
"x1_neg",11,124.959125
"",17003,2
"",21313,2
"",41906,2
"",66304,2
"",68159,2
"",68160,2
"",68161,2
"",68162,2
"",68163,2
"",76722,2
"",76723,2
"",81769,2
"",258,3
"",259,3
"",54735,3
"",61534,3
"",61535,3
"",61953,3
"",61954,3
"x1_neg",12,125.9662857
"",707,2
"",708,2
"",709,2
"",710,2
"",711,2
"",1748,2
"",1749,2
"",2252,2
"",2253,2
"",2254,2
"",2255,2
"",3135,2
"",10485,2
"",10486,2
"",10487,2
"",10488,2
"",10489,2
"",10490,2
"",10491,2
"",10492,2
"",10493,2
"",10494,2
"",10495,2
"",10496,2
"",10497,2
"",10498,2
"",10499,2
"",10500,2
"",10501,2
"",11393,2
"",11394,2
"",11395,2
"",11396,2
"",12061,2
"",12062,2
"",12309,2
"",12893,2
"",17747,2
"",17748,2
"",17749,2
"",17750,2
"",17751,2
"",17752,2
"",17753,2
"",17754,2
