"","row","col"
"",65554,1
"",65555,1
"",65556,1
"",65557,1
"",67520,1
"",68031,1
"",73863,1
"",73864,1
"",73865,1
"",76207,1
"",76293,1
"",76294,1
"",76295,1
"",76296,1
"",76772,1
"",76773,1
"",76774,1
"",76775,1
"",77936,1
"",77937,1
"",77938,1
"",80759,1
"",81038,1
"",81039,1
"",81040,1
"",81041,1
"",81869,1
"",81870,1
"",81871,1
"",81872,1
"",88383,1
"",88384,1
"",88385,1
"",91017,1
"",91102,1
"",91103,1
"",91104,1
"",91105,1
"",91630,1
"",91631,1
"",91632,1
"",91633,1
"x1_pos",5,120.0472727
"",1673,1
"",1674,1
"",1675,1
"",1676,1
"",2261,1
"",2262,1
"",2263,1
"",11974,1
"",11975,1
"",11976,1
"",11977,1
"",12319,1
"",12320,1
"",12321,1
"",20236,1
"",20237,1
"",20238,1
"",20239,1
"",20569,1
"",20570,1
"",20571,1
"",24429,1
"",24430,1
"",24431,1
"",24432,1
"",24810,1
"",24811,1
"",24812,1
"",29091,1
"",29092,1
"",29093,1
"",29094,1
"",31784,1
"",31785,1
"",31786,1
"",31787,1
"",32152,1
"",32153,1
"",32154,1
"",40612,1
"",40613,1
"",40614,1
"",40615,1
"",40616,1
"",41084,1
"",41085,1
"",41086,1
"",45288,1
"",45289,1
"",45290,1
"",45291,1
"",45292,1
"",45639,1
"",45640,1
"",45641,1
"",59963,1
"",59964,1
"",59965,1
"",59966,1
"",63066,1
"",63067,1
"",63068,1
"",63069,1
"",63070,1
"",63258,1
"",63259,1
"",63260,1
"",63261,1
"",63262,1
"",63263,1
"",71201,1
"",71202,1
"",71203,1
"",71204,1
"",71597,1
"",71598,1
"",71599,1
"",80456,1
"",80457,1
"",80458,1
"",80459,1
"",80460,1
"",80952,1
"",80953,1
"",80954,1
"",80955,1
"",85355,1
"",85356,1
"",85357,1
"",85358,1
"",85859,1
"",85860,1
"",85861,1
"",85862,1
"",85863,1
"x1_pos",6,124.1188571
"",11206,3
"",11207,3
"",15687,3
"",15688,3
"",62091,3
"",62092,3
"",66120,3
"",66121,3
"x1_pos",7,141.162
"",63478,1
"",64447,1
"",64448,1
"",64449,1
"",64450,1
"x1_pos",8,153.1623684
"",413,1
"",11212,1
"",11213,1
"",15919,1
"",18393,1
"",18394,1
"",19644,1
"",23618,1
"",23619,1
"",28509,1
"",30988,1
"",30989,1
"",35849,1
"",44520,1
"",44521,1
"",49289,1
"",51582,1
"",51646,1
"",51647,1
"",51648,1
"",54891,1
"",54892,1
"",56504,1
"",59549,1
"",62712,1
"",62713,1
"",62714,1
"",62724,1
"",62725,1
"",64391,1
"",64392,1
"",64393,1
"",64394,1
"",64902,1
"",65714,1
"",65715,1
"",65762,1
"",66578,1
"",70340,1
"",70341,1
"",75513,1
"",84398,1
"",84399,1
"",90260,1
"x1_pos",9,160.1265333
"",2983,1
"",2984,1
"",9889,1
"",9890,1
"",17374,1
"",17375,1
"",30012,1
"",30013,1
"",37360,1
"",37361,1
"",42389,1
"",42390,1
"",46119,1
"",46120,1
"",50751,1
"",50752,1
"",64044,1
"",64045,1
"",69052,1
"",69053,1
"",77144,1
"",77145,1
"",82241,1
"",82242,1
"",92062,1
"",92063,1
"x1_pos",10,161.135125
"",56816,1
"",1462,3
"",1463,3
"",1464,3
"",1465,3
"",1466,3
"",1467,3
"",11869,3
"",11870,3
"",11871,3
"",11872,3
"",11873,3
"",11874,3
"",24317,3
"",24318,3
"",24319,3
"",24320,3
"",24321,3
"",24322,3
"",31675,3
"",31676,3
"",31677,3
"",31678,3
"",31679,3
"",31680,3
"",40488,3
"",40489,3
"",40490,3
"",40491,3
"",40492,3
"",45186,3
"",45187,3
"",45188,3
"",45189,3
"",45190,3
"",45191,3
"",52563,3
"",52564,3
"",52565,3
"",52566,3
"",52567,3
"",52568,3
"",52569,3
"",52570,3
"",52571,3
"",52572,3
"",65302,3
"",65303,3
"",69019,3
"",71082,3
"",71083,3
"",71084,3
"",71085,3
"",71086,3
"",71087,3
"",80324,3
"",80325,3
"",80326,3
"",80327,3
"",80328,3
"",80329,3
"",85215,3
"",85216,3
"",85217,3
"",85218,3
"",85219,3
"",85220,3
"x1_pos",11,165.1194
"",1231,1
"",9237,1
"",9238,1
"",9239,1
"",11739,1
"",15909,1
"",16222,1
"",16959,1
"",16960,1
"",16961,1
"",21141,1
"",24169,1
"",28499,1
"",28828,1
"",29577,1
"",29578,1
"",29579,1
"",29580,1
"",29581,1
"",29582,1
"",29583,1
"",31531,1
"",35839,1
"",36170,1
"",36924,1
"",36925,1
"",36926,1
"",41698,1
"",41699,1
"",41700,1
"",45050,1
"",49277,1
"",49592,1
"",50342,1
"",50343,1
"",50344,1
"",52358,1
"",56852,1
"",59616,1
"",61270,1
"",61271,1
"",64341,1
"",66379,1
"",66380,1
"",66784,1
"",66785,1
"",68032,1
"",68033,1
"",68034,1
"",68035,1
"",68036,1
"",68037,1
"",68038,1
"",69329,1
"",69330,1
"",70932,1
"",75503,1
"",75847,1
"",76667,1
"",76668,1
"",76669,1
"",81568,1
"",81569,1
"",81570,1
"",85056,1
"",90242,1
"",90608,1
"",91499,1
"",91500,1
"",91501,1
"",989,2
"",990,2
"",52141,2
"",52142,2
"",52143,2
"",67703,2
"",67704,2
"",84862,2
"",2478,3
"",4384,3
"",4385,3
"",13757,3
"",13758,3
"",22669,3
"",22670,3
"",24942,3
"",26279,3
"",26280,3
"",32291,3
"",33626,3
"",33627,3
"",41350,3
"",43494,3
"",43495,3
"",45788,3
"",47100,3
"",47101,3
"",51780,3
"",51781,3
"",51782,3
"",51783,3
"",53980,3
"",55065,3
"",55066,3
"",63006,3
"",63007,3
"",64124,3
"",64125,3
"",65404,3
"",71746,3
"",73144,3
"",73145,3
"",81215,3
"",83319,3
"",83320,3
"",86028,3
"",87558,3
"",87559,3
"x1_pos",12,174.1435714
"",8946,1
"",8947,1
"",50119,1
"",50120,1
"",60300,1
"",60301,1
"x1_pos",13,177.1252222
"",2322,1
"",2323,1
"",12356,1
"",12357,1
"",24848,1
"",24849,1
"",32191,1
"",32192,1
"",41190,1
"",41191,1
"",45682,1
"",45683,1
"",63356,1
"",63357,1
"",71639,1
"",71640,1
"",81057,1
"",81058,1
"",85909,1
"",85910,1
"",792,3
"",2193,3
"",7127,3
"",7850,3
"",7851,3
"",11447,3
"",12269,3
"",15589,3
"",16016,3
"",16017,3
"",17408,3
"",17409,3
"",21686,3
"",21687,3
"",28168,3
"",28613,3
"",28614,3
"",30048,3
"",30049,3
"",31231,3
"",32102,3
"",35500,3
"",35948,3
"",35949,3
"",37394,3
"",37395,3
"",44750,3
"",45591,3
"",45637,3
"",45638,3
"",48922,3
"",49386,3
"",49387,3
"",50789,3
"",50790,3
"",52050,3
"",52051,3
"",53784,3
"",56719,3
"",56720,3
"",56721,3
"",56722,3
"",56723,3
"",56724,3
"",56772,3
"",56773,3
"",59149,3
"",59535,3
"",59536,3
"",60647,3
"",60648,3
"",60649,3
"",60650,3
"",60651,3
"",60652,3
"",61316,3
"",61317,3
"",61318,3
"",61980,3
"",61981,3
"",61982,3
"",62500,3
"",63250,3
"",63251,3
"",63252,3
"",63253,3
"",63254,3
"",63255,3
"",63256,3
"",63257,3
"",66485,3
"",66486,3
"",70611,3
"",71543,3
"",75149,3
"",75615,3
"",75616,3
"",77178,3
"",77179,3
"",84715,3
"",85798,3
"",89845,3
"",90369,3
"",90370,3
"",92099,3
"",92100,3
"x1_pos",14,178.1403
"",5468,1
"",7606,1
"",7607,1
"",49229,1
"",49230,1
"",51755,1
"",51756,1
"",51794,1
"",51795,1
"",51796,1
"",51797,1
"",51798,1
"",59473,1
"",59474,1
"",65657,1
"",84503,1
"",84504,1
"x1_pos",15,179.145
"",11472,1
"",16571,1
"",23897,1
"",29182,1
"",31261,1
"",36530,1
"",44782,1
"",49941,1
"",51983,1
"",56817,1
"",56818,1
"",67554,1
"",70652,1
"",76235,1
"",84758,1
"",91044,1
"",53073,3
"",53898,3
"",54230,3
"",63475,3
"x1_pos",16,184.1520714
"",5516,3
"",5517,3
"",14476,3
"",14477,3
"",14478,3
"",14479,3
"",27027,3
"",27028,3
"",27029,3
"",27030,3
"",34354,3
"",34355,3
"",34356,3
"",34357,3
"",38315,3
"",38316,3
"",38317,3
"",38318,3
"",47834,3
"",47835,3
"",47836,3
"",47837,3
"",56653,3
"",56654,3
"",56655,3
"",56656,3
"",56657,3
"",56658,3
"",56659,3
"",56660,3
"",56661,3
"",56662,3
"",59514,3
"",59515,3
"",73941,3
"",73942,3
"",73943,3
"",73944,3
"",78145,3
"",78146,3
"",78147,3
"",78148,3
"",88465,3
"",88466,3
"",88467,3
"",88468,3
"x1_pos",17,186.1465833
"",62886,1
"",62887,1
"",69088,3
"",69089,3
"x1_pos",18,188.1531667
"",2690,1
"",9335,1
"",9336,1
"",12585,1
"",21162,1
"",25086,1
"",32436,1
"",41720,1
"",45922,1
"",50397,1
"",50398,1
"",54083,1
"",59376,1
"",60435,1
"",60436,1
"",71893,1
"",81590,1
"",86206,1
"",54804,3
"",65245,3
"x1_pos",19,190.1535
"",4240,1
"",4241,1
"",7620,1
"",7621,1
"",15877,1
"",15878,1
"",19558,1
"",19559,1
"",28466,1
"",28467,1
"",35807,1
"",35808,1
"",39850,1
"",39851,1
"",46994,1
"",46995,1
"",49242,1
"",49243,1
"",59483,1
"",59484,1
"",65338,1
"",65339,1
"",75469,1
"",75470,1
"",79663,1
"",79664,1
"",90212,1
"",90213,1
"x1_pos",20,192.1587857
"",7539,1
"",7540,1
"",49179,1
"",49180,1
"",59406,1
"",59407,1
"",67662,3
"",67663,3
"",67664,3
"",67665,3
"x1_pos",21,194.173
"",59246,3
"",59247,3
"x1_pos",22,198.1577692
"",69174,1
"",69175,1
"",420,3
"",421,3
"",422,3
"",423,3
"",424,3
"",425,3
"",426,3
"",427,3
"",428,3
"",429,3
"",430,3
"",431,3
"",432,3
"",433,3
"",434,3
"",435,3
"",11219,3
"",11220,3
"",11221,3
"",11222,3
"",11223,3
"",11224,3
"",11225,3
"",11226,3
"",11227,3
"",11228,3
"",18396,3
"",18397,3
"",18398,3
"",18399,3
"",18400,3
"",18401,3
"",18402,3
"",18403,3
"",18404,3
"",18405,3
"",23627,3
"",23628,3
"",23629,3
"",23630,3
"",23631,3
"",23632,3
"",23633,3
"",23634,3
"",23635,3
"",23636,3
"",30995,3
"",30996,3
"",30997,3
"",30998,3
"",30999,3
"",31000,3
"",31001,3
"",31002,3
"",31003,3
"",31004,3
"",38476,3
"",38477,3
"",38478,3
"",38479,3
"",38480,3
"",38481,3
"",38482,3
"",38483,3
"",38484,3
"",38485,3
"",44522,3
"",44523,3
"",44524,3
"",44525,3
"",44526,3
"",44527,3
"",44528,3
"",44529,3
"",44530,3
"",44531,3
"",62113,3
"",62114,3
"",62115,3
"",62116,3
"",62117,3
"",62118,3
"",62119,3
"",62120,3
"",62121,3
"",62122,3
"",62123,3
"",62124,3
"",62125,3
"",62126,3
"",62127,3
"",62128,3
"",62129,3
"",62130,3
"",62523,3
"",70347,3
"",70348,3
"",70349,3
"",70350,3
"",70351,3
"",70352,3
"",70353,3
"",70354,3
"",70355,3
"",70356,3
"",78306,3
"",78307,3
"",78308,3
"",78309,3
"",78310,3
"",78311,3
"",78312,3
"",78313,3
"",78314,3
"",78315,3
"",84405,3
"",84406,3
"",84407,3
"",84408,3
"",84409,3
"",84410,3
"",84411,3
"",84412,3
"",84413,3
"",84414,3
"",84415,3
"",84416,3
"x1_pos",23,199.1678333
"",67788,1
"x1_pos",24,204.1641429
"",5570,1
"",5571,1
"",5572,1
"",5573,1
"",5574,1
"",10077,1
"",10078,1
"",14515,1
"",14516,1
"",14517,1
"",18307,1
"",18308,1
"",27072,1
"",27073,1
"",27074,1
"",34391,1
"",34392,1
"",34393,1
"",38371,1
"",47873,1
"",50890,1
"",50891,1
"",56710,1
"",56711,1
"",56712,1
"",56713,1
"",56714,1
"",69241,1
"",69242,1
"",73982,1
"",73983,1
"",73984,1
"",78200,1
"",88512,1
"",88513,1
"",88514,1
"",88515,1
"",88516,1
"x1_pos",25,205.17825
"",639,1
"",1004,1
"",1012,1
"",2349,1
"",7774,1
"",8208,1
"",24010,1
"",24858,1
"",25084,1
"",25085,1
"",27168,1
"",27169,1
"",28274,1
"",28574,1
"",30909,1
"",30910,1
"",51458,1
"",51459,1
"",51460,1
"",51461,1
"",51462,1
"",51463,1
"",51469,1
"",51470,1
"",51471,1
"",51528,1
"",51529,1
"",51757,1
"",51758,1
"",51967,1
"",53888,1
"",53889,1
"",54143,1
"",54211,1
"",54214,1
"",54437,1
"",56390,1
"",56524,1
"",56675,1
"",56853,1
"",56854,1
"",59465,1
"",59534,1
"",59617,1
"",59618,1
"",59619,1
"",59865,1
"",59866,1
"",59898,1
"",60501,1
"",60845,1
"",62131,1
"",62373,1
"",62384,1
"",62702,1
"",62711,1
"",63365,1
"",63366,1
"",63758,1
"",63759,1
"",63760,1
"",64255,1
"",64263,1
"",64264,1
"",64265,1
"",64266,1
"",65265,1
"",65395,1
"",65396,1
"",65632,1
"",65633,1
"",66098,1
"",66118,1
"",66119,1
"",66793,1
"",67492,1
"",67551,1
"",67682,1
"",69325,1
"",70052,1
"",70357,1
"",72116,1
"",75454,1
"",76360,1
"",84108,1
"",84109,1
"",84110,1
"",84593,1
"",84876,1
"",90663,1
"x1_pos",26,210.1799231
"",661,1
"",2373,1
"",2374,1
"",5564,1
"",5565,1
"",5566,1
"",5567,1
"",5568,1
"",5569,1
"",11375,1
"",12379,1
"",12380,1
"",19322,1
"",20733,1
"",20734,1
"",23787,1
"",24872,1
"",24873,1
"",31153,1
"",32214,1
"",32215,1
"",39564,1
"",41253,1
"",41254,1
"",44672,1
"",45710,1
"",45711,1
"",56699,1
"",56700,1
"",56701,1
"",56702,1
"",56703,1
"",56704,1
"",56705,1
"",56706,1
"",56707,1
"",56708,1
"",56709,1
"",62383,1
